Loading and expanding specs...
  4179 total tasks (~12537 rows)
  depth 0: 93 tasks
  depth 1: 2000 tasks
  depth 2: 2000 tasks
  depth 3: 83 tasks
  depth 4: 3 tasks

Generating real traces via GPT-4o mini (DeepSeek disabled via BTL_FORCE_OPENAI)...
  concurrency=128, max_tokens=2048, model=gpt-4o-mini
  saving incrementally to:
    train: C:\Users\pc\Downloads\btl\btl-1\data\real-traces\train.jsonl
    eval:  C:\Users\pc\Downloads\btl\btl-1\data\real-traces\eval.jsonl
  3550/4179 tasks done, cost: $0.5185 (ds: $0.0000, oai: $0.5185), incomplete: 0, failed: 0
  3600/4179 tasks done, cost: $0.5202 (ds: $0.0000, oai: $0.5202), incomplete: 0, failed: 0
  3650/4179 tasks done, cost: $0.5247 (ds: $0.0000, oai: $0.5247), incomplete: 0, failed: 0
  3750/4179 tasks done, cost: $0.5361 (ds: $0.0000, oai: $0.5361), incomplete: 0, failed: 0
  3700/4179 tasks done, cost: $0.5414 (ds: $0.0000, oai: $0.5414), incomplete: 0, failed: 0
  3800/4179 tasks done, cost: $0.5527 (ds: $0.0000, oai: $0.5527), incomplete: 0, failed: 0
  3900/4179 tasks done, cost: $0.5602 (ds: $0.0000, oai: $0.5602), incomplete: 0, failed: 0
  3850/4179 tasks done, cost: $0.5616 (ds: $0.0000, oai: $0.5616), incomplete: 0, failed: 0
  3950/4179 tasks done, cost: $0.5746 (ds: $0.0000, oai: $0.5746), incomplete: 0, failed: 0
  4000/4179 tasks done, cost: $0.5877 (ds: $0.0000, oai: $0.5877), incomplete: 0, failed: 0
  4050/4179 tasks done, cost: $0.5895 (ds: $0.0000, oai: $0.5895), incomplete: 0, failed: 0
  4150/4179 tasks done, cost: $0.6033 (ds: $0.0000, oai: $0.6033), incomplete: 0, failed: 0
  4100/4179 tasks done, cost: $0.6038 (ds: $0.0000, oai: $0.6038), incomplete: 0, failed: 0

Done. Generated 8358 rows at $0.6110 total (deepseek $0.0000, openai $0.6110)
  train: C:\Users\pc\Downloads\btl\btl-1\data\real-traces\train.jsonl (7515 rows)
  eval:  C:\Users\pc\Downloads\btl\btl-1\data\real-traces\eval.jsonl (843 rows)
